name	docked_protein	Mean rank	SD
789	3npc	35.666666666666664	23.180451534284945
39	3npc	35.666666666666664	17.50238079043344
136	3npc	36.0	24.24871130596428
886	3npc	37.0	26.962937525425527
591	3npc	37.0	50.38849074937649
624	3npc	38.333333333333336	17.925772879665004
294	3npc	38.666666666666664	32.129944496269104
2276	3npc	39.333333333333336	47.384948383778294
681	3npc	39.666666666666664	12.583057392117915
1976	3npc	40.0	44.30575583375144
662	3npc	46.333333333333336	29.022979401386987
201	3npc	47.0	27.712812921102035
1894	3npc	48.0	58.0430874437258
85	3npc	51.0	15.716233645501712
631	3npc	53.333333333333336	2.309401076758502
1413	3npc	54.0	81.40638795573723
138	3npc	54.333333333333336	5.686240703077328
1160	3npc	55.333333333333336	33.291640592396966
95	3npc	57.333333333333336	24.94660965609021
526	3npc	59.666666666666664	14.571661996262929
211	3npc	59.666666666666664	56.897568782271655
769	3npc	61.333333333333336	57.76965754903981
205	3npc	61.666666666666664	37.52776749732568
1822	3npc	62.333333333333336	58.6031853514238
247	3npc	62.333333333333336	73.32348418708247
1355	3npc	63.666666666666664	27.42869543622761
1971	3npc	65.66666666666667	42.359571921034956
1157	3npc	66.0	40.95119045888654
2350	3npc	66.33333333333333	90.01296202955068
1651	3npc	66.66666666666667	72.17571151941166
1535	3npc	69.33333333333333	55.139217743211894
950	3npc	70.0	24.43358344574123
1781	3npc	71.33333333333333	90.64399226277123
1982	3npc	73.33333333333333	45.654499595695206
454	3npc	73.33333333333333	14.742229591663989
408	3npc	74.33333333333333	62.14767359550422
200	3sx0	1.3333333333333333	0.5773502691896258
662	3sx0	4.666666666666667	0.5773502691896257
1130	3sx0	7.666666666666667	7.023769168568492
695	3sx0	11.666666666666666	2.0816659994661326
1413	3sx0	14.666666666666666	12.423096769056148
681	3sx0	15.0	6.244997998398398
1706	3sx0	15.0	19.157244060668017
737	3sx0	16.333333333333332	17.09775813764288
1521	3sx0	18.333333333333332	10.785793124908958
908	3sx0	19.0	12.165525060596439
2359	3sx0	19.0	28.583211855912904
1248	3sx0	20.0	13.856406460551018
421	3sx0	21.333333333333332	4.932882862316248
201	3sx0	23.666666666666668	23.692474191889147
1676	3sx0	24.666666666666668	16.77299416721217
1160	3sx0	25.666666666666668	12.503332889007368
205	3sx0	26.333333333333332	11.930353445448855
631	3sx0	26.666666666666668	17.3877351409933
1206	3sx0	27.0	14.798648586948742
906	3sx0	29.0	18.734993995195193
137	3sx0	32.0	13.45362404707371
2330	3sx0	32.333333333333336	11.930353445448855
2301	3sx0	33.333333333333336	32.316146634976974
1535	3sx0	34.0	11.269427669584644
1850	3sx0	34.666666666666664	26.38812864401971
1533	3sx0	36.0	13.0
