identifier	2jam_consensus	2qfa_consensus	3e7o_consensus	3elj_consensus	3npc_consensus	3sx0_consensus	4agl_consensus	4x21_consensus	5l4q_consensus	6e43_consensus	6q9y_consensus	6s1j_consensus	2jam_LeDock	2jam_Smina	2jam_Vina	2qfa_LeDock	2qfa_Smina	2qfa_Vina	3e7o_LeDock	3e7o_Smina	3e7o_Vina	3elj_LeDock	3elj_Smina	3elj_Vina	3npc_LeDock	3npc_Smina	3npc_Vina	3sx0_LeDock	3sx0_Smina	3sx0_Vina	4agl_LeDock	4agl_Smina	4agl_Vina	4x21_LeDock	4x21_Smina	4x21_Vina	5l4q_LeDock	5l4q_Smina	5l4q_Vina	6e43_LeDock	6e43_Smina	6e43_Vina	6q9y_LeDock	6q9y_Smina	6q9y_Vina	6s1j_LeDock	6s1j_Smina	6s1j_Vina
3sx0_Smina	0.18	0.4	0.3	0.3	0.4	0.74	0.36	0.2	0.28	0.4	0.44	0.32	0.18	0.2	0.16	0.3	0.38	0.34	0.22	0.28	0.28	0.24	0.26	0.3	0.26	0.44	0.44	0.4	1.0	0.78	0.28	0.26	0.28	0.2	0.16	0.2	0.26	0.28	0.22	0.2	0.34	0.36	0.32	0.44	0.38	0.34	0.24	0.22
3sx0_Vina	0.14	0.34	0.24	0.24	0.34	0.7	0.32	0.18	0.3	0.28	0.38	0.26	0.16	0.14	0.1	0.26	0.32	0.32	0.16	0.24	0.24	0.18	0.2	0.3	0.2	0.34	0.38	0.34	0.78	1.0	0.22	0.24	0.22	0.14	0.16	0.2	0.18	0.26	0.3	0.18	0.26	0.26	0.26	0.36	0.34	0.26	0.2	0.22
4agl_LeDock	0.4	0.36	0.16	0.3	0.3	0.3	0.42	0.3	0.34	0.2	0.3	0.26	0.48	0.3	0.2	0.48	0.26	0.22	0.44	0.12	0.14	0.46	0.24	0.12	0.6	0.16	0.18	0.42	0.28	0.22	1.0	0.22	0.14	0.48	0.18	0.18	0.54	0.22	0.18	0.42	0.2	0.12	0.5	0.16	0.16	0.56	0.14	0.12
4agl_Smina	0.3	0.4	0.3	0.3	0.4	0.26	0.62	0.34	0.42	0.28	0.36	0.44	0.16	0.32	0.32	0.24	0.4	0.32	0.12	0.32	0.24	0.2	0.2	0.26	0.24	0.4	0.42	0.26	0.26	0.24	0.22	1.0	0.64	0.14	0.26	0.28	0.24	0.48	0.48	0.16	0.32	0.24	0.24	0.32	0.34	0.24	0.28	0.26
4agl_Vina	0.34	0.36	0.28	0.24	0.36	0.22	0.6	0.32	0.32	0.24	0.36	0.4	0.1	0.32	0.36	0.18	0.4	0.34	0.12	0.22	0.24	0.14	0.18	0.24	0.22	0.38	0.42	0.22	0.28	0.22	0.14	0.64	1.0	0.16	0.3	0.38	0.26	0.28	0.4	0.14	0.28	0.24	0.14	0.34	0.34	0.24	0.3	0.3
4x21_LeDock	0.36	0.24	0.32	0.28	0.32	0.24	0.28	0.3	0.28	0.24	0.28	0.26	0.44	0.3	0.18	0.28	0.16	0.16	0.6	0.18	0.18	0.52	0.24	0.12	0.52	0.2	0.24	0.36	0.2	0.14	0.48	0.14	0.16	1.0	0.2	0.18	0.6	0.16	0.16	0.4	0.18	0.14	0.4	0.18	0.18	0.5	0.16	0.14
4x21_Smina	0.46	0.38	0.5	0.28	0.32	0.18	0.32	0.62	0.38	0.36	0.32	0.48	0.14	0.46	0.52	0.24	0.36	0.32	0.2	0.46	0.42	0.14	0.36	0.36	0.22	0.3	0.28	0.16	0.16	0.16	0.18	0.26	0.3	0.2	1.0	0.72	0.18	0.4	0.46	0.2	0.34	0.28	0.2	0.3	0.3	0.22	0.42	0.32
4x21_Vina	0.44	0.42	0.44	0.26	0.34	0.2	0.34	0.66	0.32	0.38	0.34	0.48	0.06	0.44	0.54	0.28	0.38	0.36	0.14	0.4	0.4	0.1	0.3	0.36	0.22	0.3	0.34	0.16	0.2	0.2	0.18	0.28	0.38	0.18	0.72	1.0	0.14	0.32	0.48	0.2	0.34	0.32	0.2	0.32	0.38	0.24	0.46	0.44
5l4q_LeDock	0.32	0.36	0.28	0.4	0.34	0.24	0.42	0.3	0.44	0.22	0.32	0.32	0.5	0.26	0.16	0.46	0.28	0.3	0.56	0.2	0.22	0.52	0.22	0.14	0.54	0.26	0.3	0.32	0.26	0.18	0.54	0.24	0.26	0.6	0.18	0.14	1.0	0.28	0.16	0.36	0.22	0.14	0.46	0.22	0.2	0.56	0.16	0.16
5l4q_Smina	0.36	0.4	0.54	0.4	0.38	0.28	0.38	0.44	0.66	0.3	0.36	0.4	0.22	0.44	0.44	0.26	0.4	0.38	0.16	0.48	0.44	0.22	0.42	0.4	0.18	0.42	0.36	0.22	0.28	0.26	0.22	0.48	0.28	0.16	0.4	0.32	0.28	1.0	0.68	0.12	0.28	0.2	0.26	0.34	0.32	0.28	0.36	0.34
5l4q_Vina	0.38	0.42	0.42	0.28	0.4	0.26	0.36	0.46	0.6	0.24	0.34	0.4	0.12	0.44	0.5	0.24	0.42	0.36	0.18	0.38	0.36	0.1	0.28	0.34	0.18	0.36	0.4	0.14	0.22	0.3	0.18	0.48	0.4	0.16	0.46	0.48	0.16	0.68	1.0	0.18	0.24	0.22	0.2	0.32	0.36	0.24	0.36	0.32
6e43_LeDock	0.3	0.28	0.26	0.26	0.3	0.22	0.22	0.2	0.22	0.38	0.3	0.26	0.36	0.28	0.2	0.34	0.2	0.24	0.44	0.22	0.16	0.28	0.2	0.14	0.42	0.24	0.22	0.34	0.2	0.18	0.42	0.16	0.14	0.4	0.2	0.2	0.36	0.12	0.18	1.0	0.32	0.28	0.4	0.16	0.16	0.44	0.24	0.2
6e43_Smina	0.26	0.26	0.32	0.2	0.32	0.26	0.32	0.32	0.24	0.66	0.32	0.3	0.14	0.24	0.32	0.26	0.3	0.26	0.14	0.28	0.32	0.12	0.28	0.24	0.24	0.34	0.36	0.2	0.34	0.26	0.2	0.32	0.28	0.18	0.34	0.34	0.22	0.28	0.24	0.32	1.0	0.8	0.18	0.36	0.36	0.26	0.26	0.24
6e43_Vina	0.2	0.24	0.3	0.2	0.28	0.24	0.24	0.24	0.16	0.68	0.3	0.32	0.08	0.26	0.34	0.16	0.24	0.24	0.08	0.22	0.32	0.06	0.28	0.28	0.16	0.28	0.3	0.18	0.36	0.26	0.12	0.24	0.24	0.14	0.28	0.32	0.14	0.2	0.22	0.28	0.8	1.0	0.16	0.36	0.34	0.22	0.34	0.36
6q9y_LeDock	0.32	0.38	0.3	0.28	0.38	0.34	0.34	0.26	0.32	0.2	0.54	0.28	0.34	0.26	0.22	0.46	0.24	0.3	0.4	0.22	0.2	0.34	0.2	0.12	0.42	0.3	0.28	0.34	0.32	0.26	0.5	0.24	0.14	0.4	0.2	0.2	0.46	0.26	0.2	0.4	0.18	0.16	1.0	0.3	0.28	0.48	0.18	0.14
6q9y_Smina	0.32	0.38	0.3	0.22	0.36	0.32	0.36	0.42	0.3	0.36	0.68	0.36	0.1	0.3	0.28	0.26	0.46	0.4	0.18	0.32	0.32	0.1	0.26	0.26	0.28	0.54	0.44	0.2	0.44	0.36	0.16	0.32	0.34	0.18	0.3	0.32	0.22	0.34	0.32	0.16	0.36	0.36	0.3	1.0	0.82	0.26	0.3	0.32
6q9y_Vina	0.34	0.36	0.28	0.24	0.34	0.3	0.36	0.38	0.3	0.3	0.68	0.34	0.08	0.28	0.3	0.26	0.4	0.34	0.18	0.26	0.3	0.12	0.24	0.26	0.24	0.44	0.48	0.18	0.38	0.34	0.16	0.34	0.34	0.18	0.3	0.38	0.2	0.32	0.36	0.16	0.36	0.34	0.28	0.82	1.0	0.24	0.28	0.3
6s1j_LeDock	0.38	0.46	0.36	0.42	0.44	0.38	0.38	0.26	0.38	0.28	0.4	0.42	0.48	0.32	0.26	0.5	0.36	0.34	0.5	0.24	0.28	0.46	0.26	0.14	0.56	0.36	0.34	0.44	0.34	0.26	0.56	0.24	0.24	0.5	0.22	0.24	0.56	0.28	0.24	0.44	0.26	0.22	0.48	0.26	0.24	1.0	0.3	0.28
6s1j_Smina	0.36	0.36	0.44	0.26	0.3	0.24	0.26	0.42	0.3	0.32	0.24	0.6	0.12	0.42	0.46	0.18	0.32	0.36	0.14	0.5	0.5	0.14	0.3	0.34	0.14	0.28	0.28	0.2	0.24	0.2	0.14	0.28	0.3	0.16	0.42	0.46	0.16	0.36	0.36	0.24	0.26	0.34	0.18	0.3	0.28	0.3	1.0	0.76
6s1j_Vina	0.34	0.38	0.4	0.3	0.32	0.24	0.3	0.42	0.32	0.34	0.28	0.6	0.1	0.42	0.44	0.16	0.32	0.4	0.1	0.38	0.46	0.12	0.3	0.42	0.14	0.3	0.3	0.22	0.22	0.22	0.12	0.26	0.3	0.14	0.32	0.44	0.16	0.34	0.32	0.2	0.24	0.36	0.14	0.32	0.3	0.28	0.76	1.0
