name	docked_protein	score	no_atoms	Tool	ligand_efficiency
137	2qfa	-7.7673	24	Smina	-0.3236374999999999
1220	2qfa	-8.41329	26	Smina	-0.3235880769230769
2361	2qfa	-8.70341	27	Smina	-0.3223485185185185
131	2qfa	-8.69574	27	Smina	-0.3220644444444445
1388	2qfa	-8.69574	27	Smina	-0.3220644444444445
2270	2qfa	-6.76152	21	Smina	-0.3219771428571428
624	4agl	-7.34432	22	Smina	-0.3338327272727273
2350	4agl	-6.94166	21	Smina	-0.330555238095238
1706	4agl	-7.27134	22	Smina	-0.3305154545454545
1676	4agl	-7.51157	23	Smina	-0.32659
737	4agl	-6.51013	20	Smina	-0.3255065
2109	4agl	-6.78109	21	Smina	-0.3229090476190476
200	4agl	-6.31826	20	Smina	-0.315913
591	4agl	-6.89004	22	Smina	-0.3131836363636364
1651	4agl	-6.55048	21	Smina	-0.311927619047619
1894	4agl	-7.35851	24	Smina	-0.3066045833333333
695	4agl	-6.36246	21	Smina	-0.3029742857142857
2359	4agl	-8.48078	28	Smina	-0.3028849999999999
138	4agl	-7.26404	24	Smina	-0.3026683333333333
211	4agl	-6.30504	21	Smina	-0.30024
662	4agl	-7.20537	24	Smina	-0.30022375
1130	4agl	-7.73638	26	Smina	-0.2975530769230769
670	4agl	-6.53412	22	Smina	-0.2970054545454545
1266	4agl	-7.71567	26	Smina	-0.2967565384615385
1521	4agl	-6.20856	21	Smina	-0.2956457142857143
1413	4agl	-7.08757	24	Smina	-0.2953154166666666
141	4agl	-6.47372	22	Smina	-0.29426
39	4agl	-5.87895	20	Smina	-0.2939475
1850	4agl	-7.03822	24	Smina	-0.2932591666666667
1160	4agl	-6.73391	23	Smina	-0.2927786956521739
1100	4agl	-7.27055	25	Smina	-0.290822
1982	4agl	-6.68136	23	Smina	-0.2904939130434782
1523	4agl	-7.23041	25	Smina	-0.2892164
205	4agl	-6.91068	24	Smina	-0.287945
588	4agl	-6.61357	23	Smina	-0.2875465217391304
1248	4agl	-5.74881	20	Smina	-0.2874405
1301	4agl	-6.60579	23	Smina	-0.2872082608695652
1553	4agl	-7.15905	25	Smina	-0.286362
201	4agl	-6.87087	24	Smina	-0.28628625
993	4agl	-6.53182	23	Smina	-0.2839921739130435
680	4agl	-6.78798	24	Smina	-0.2828325
213	4agl	-6.76614	24	Smina	-0.2819225
2017	4agl	-6.70411	24	Smina	-0.2793379166666667
