name,docked_protein,score,no_atoms,ligand_efficiency
0617,2jam,-6.06,23,-0.2634782608695652
0624,2jam,-5.57,22,-0.2531818181818182
0625,2jam,-5.56,29,-0.19172413793103446
0626,2jam,-6.92,28,-0.24714285714285714
0631,2jam,-7.22,26,-0.2776923076923077
0648,2jam,-6.22,32,-0.194375
0653,2jam,-7.4,28,-0.2642857142857143
0662,2jam,-8.1,24,-0.33749999999999997
0663,2jam,-6.14,26,-0.23615384615384613
0666,2jam,-6.66,27,-0.24666666666666667
0670,2jam,-5.6,22,-0.2545454545454545
0677,2jam,-7.98,27,-0.29555555555555557
0680,2jam,-6.55,24,-0.27291666666666664
0681,2jam,-7.25,24,-0.3020833333333333
0683,2jam,-6.37,27,-0.23592592592592593
0684,2jam,-7.23,26,-0.2780769230769231
0692,2jam,-4.73,27,-0.1751851851851852
0693,2jam,-6.65,30,-0.22166666666666668
0695,2jam,-5.59,21,-0.2661904761904762
0696,2jam,-4.37,25,-0.1748
0699,2jam,-6.33,30,-0.211
0706,2jam,-6.79,30,-0.22633333333333333
0708,2jam,-7.43,29,-0.25620689655172413
0709,2jam,-8.04,28,-0.2871428571428571
0716,2jam,-6.38,28,-0.22785714285714284
0723,2jam,-4.75,23,-0.20652173913043478
0727,2jam,-6.54,21,-0.31142857142857144
0729,2jam,-5.23,27,-0.1937037037037037
0737,2jam,-6.73,20,-0.3365
0743,2jam,-6.32,27,-0.23407407407407407
0746,2jam,-6.09,27,-0.22555555555555554
0754,2jam,-5.38,27,-0.19925925925925925
0755,2jam,-5.74,28,-0.20500000000000002
0767,2jam,-6.28,30,-0.20933333333333334
0769,2jam,-6.04,26,-0.2323076923076923
0776,2jam,-7.1,34,-0.20882352941176469
0783,2jam,-6.58,34,-0.1935294117647059
0784,2jam,-7.18,35,-0.20514285714285713
0786,2jam,-5.44,24,-0.22666666666666668
0789,2jam,-5.58,21,-0.26571428571428574
0790,2jam,-5.53,25,-0.2212
0797,2jam,-6.51,28,-0.23249999999999998
0800,2jam,-7.2,28,-0.2571428571428572
0803,2jam,-6.64,29,-0.2289655172413793
0814,2jam,-5.46,30,-0.182
0827,2jam,-4.98,27,-0.18444444444444447
0833,2jam,-4.86,26,-0.18692307692307694
0834,2jam,-5.2,26,-0.2
0835,2jam,-5.16,25,-0.2064
0836,2jam,-4.79,25,-0.1916
0847,2jam,-6.93,30,-0.23099999999999998
0850,2jam,-5.03,27,-0.1862962962962963
0860,2jam,-4.82,26,-0.1853846153846154
0861,2jam,-4.91,30,-0.16366666666666668
0862,2jam,-5.36,28,-0.19142857142857145
0865,2jam,-6.58,29,-0.22689655172413795
0872,2jam,-7.33,29,-0.25275862068965516
0873,2jam,-6.82,31,-0.22
0874,2jam,-6.57,28,-0.23464285714285715
0886,2jam,-7.23,28,-0.25821428571428573
0892,2jam,-5.73,24,-0.23875000000000002
0895,2jam,-5.92,25,-0.2368
0906,2jam,-7.27,26,-0.2796153846153846
0908,2jam,-6.18,23,-0.26869565217391306
0910,2jam,-6.11,25,-0.2444
0920,2jam,-5.9,24,-0.24583333333333335
0924,2jam,-6.27,28,-0.22392857142857142
0935,2jam,-6.62,32,-0.206875
0937,2jam,-6.2,26,-0.23846153846153847
0950,2jam,-6.05,25,-0.242
0956,2jam,-6.43,27,-0.23814814814814814
0961,2jam,-6.68,29,-0.2303448275862069
0969,2jam,-4.77,31,-0.15387096774193548
0971,2jam,-5.59,29,-0.19275862068965516
0978,2jam,-5.95,33,-0.1803030303030303
0979,2jam,-5.96,29,-0.20551724137931035
0980,2jam,-5.61,27,-0.20777777777777778
0983,2jam,-7.84,32,-0.245
0985,2jam,-7.25,24,-0.3020833333333333
0991,2jam,-7.1,32,-0.221875
0993,2jam,-6.88,23,-0.2991304347826087
0999,2jam,-6.26,34,-0.18411764705882352
1001,2jam,-6.73,23,-0.29260869565217396
1008,2jam,-7.59,27,-0.2811111111111111
1011,2jam,-7.08,28,-0.25285714285714284
1027,2jam,-6.06,32,-0.189375
1028,2jam,-6.73,25,-0.2692
1037,2jam,-6.68,30,-0.22266666666666665
1040,2jam,-7.33,34,-0.21558823529411764
1042,2jam,-7.35,30,-0.245
1043,2jam,-6.11,30,-0.2036666666666667
1044,2jam,-5.94,29,-0.20482758620689656
1051,2jam,-6.87,27,-0.2544444444444445
1056,2jam,-5.44,30,-0.18133333333333335
1061,2jam,-6.35,30,-0.21166666666666664
1073,2jam,-6.46,28,-0.2307142857142857
1076,2jam,-6.63,28,-0.2367857142857143
1081,2jam,-6.12,27,-0.22666666666666668
1084,2jam,-5.46,29,-0.18827586206896552
1089,2jam,-6.25,24,-0.2604166666666667
1100,2jam,-7.33,25,-0.2932
1101,2jam,-6.57,26,-0.2526923076923077
1105,2jam,-6.31,32,-0.1971875
1112,2jam,-6.8,32,-0.2125
1113,2jam,-6.54,28,-0.23357142857142857
1114,2jam,-7.09,27,-0.2625925925925926
1130,2jam,-8.31,26,-0.31961538461538463
1133,2jam,-7.07,29,-0.24379310344827587
1143,2jam,-5.18,32,-0.161875
1151,2jam,-5.22,24,-0.2175
1157,2jam,-6.87,23,-0.29869565217391303
1160,2jam,-6.99,23,-0.30391304347826087
1161,2jam,-6.53,27,-0.24185185185185187
1177,2jam,-6.05,32,-0.1890625
1178,2jam,-6.21,32,-0.1940625
1180,2jam,-6.04,31,-0.19483870967741937
1192,2jam,-6.21,24,-0.25875
1193,2jam,-5.91,26,-0.22730769230769232
1206,2jam,-5.79,25,-0.2316
1209,2jam,-5.74,24,-0.23916666666666667
1211,2jam,-5.06,25,-0.2024
1217,2jam,-4.95,27,-0.18333333333333335
1219,2jam,-5.68,26,-0.21846153846153846
1220,2jam,-6.8,26,-0.26153846153846155
1222,2jam,-4.56,23,-0.19826086956521738
1224,2jam,-4.98,25,-0.19920000000000002
1226,2jam,-5.53,23,-0.24043478260869566
1231,2jam,-9.06,33,-0.27454545454545454
1236,2jam,-4.88,30,-0.16266666666666665
1237,2jam,-6.27,30,-0.209
1248,2jam,-6.73,20,-0.3365
1255,2jam,-5.5,32,-0.171875
1256,2jam,-7.03,29,-0.2424137931034483
1265,2jam,-5.85,24,-0.24375
1266,2jam,-5.93,26,-0.22807692307692307
1271,2jam,-8.53,31,-0.27516129032258063
1280,2jam,-5.62,34,-0.1652941176470588
1282,2jam,-6.84,28,-0.24428571428571427
1284,2jam,-5.74,34,-0.1688235294117647
1285,2jam,-6.66,33,-0.2018181818181818
1295,2jam,-5.44,25,-0.21760000000000002
1299,2jam,-8.91,33,-0.27
1300,2jam,-5.41,22,-0.2459090909090909
1301,2jam,-4.9,23,-0.21304347826086958
1310,2jam,-6.99,31,-0.22548387096774195
1314,2jam,-7.12,29,-0.24551724137931036
1315,2jam,-5.24,28,-0.18714285714285714
1325,2jam,-5.47,30,-0.18233333333333332
