dock_time	ligand	protein
6.276180982589722	0428	2jam
20.154132843017578	0429	2jam
8.036373138427734	0436	2jam
10.598667860031128	0439	2jam
28.155439853668213	0441	2jam
23.632824182510376	0444	2jam
5.2564170360565186	0454	2jam
12.86772608757019	0455	2jam
14.081401109695435	0459	2jam
12.52509093284607	0467	2jam
15.863786935806274	0469	2jam
9.924938917160034	0471	2jam
18.315247297286987	0473	2jam
18.733561038970947	0483	2jam
33.14961099624634	0484	2jam
21.419341802597046	0485	2jam
13.34068489074707	0500	2jam
4.0786049365997314	0502	2jam
4.557869911193848	0504	2jam
6.899782180786133	0505	2jam
16.806785106658936	0513	2jam
12.418903112411499	0526	2jam
8.442036867141724	0550	2jam
9.1023850440979	0556	2jam
4.483264207839966	0558	2jam
10.304081201553345	0559	2jam
10.78020191192627	0566	2jam
16.451133251190186	0571	2jam
7.0647149085998535	0578	2jam
12.538459062576294	0579	2jam
3.0652332305908203	0588	2jam
2.9723970890045166	0591	2jam
4.060913801193237	0592	2jam
9.213562965393066	0596	2jam
20.524738073349	0610	2jam
19.186779975891113	0611	2jam
8.824868202209473	0616	2jam
6.560378074645996	0617	2jam
4.817384958267212	0624	2jam
19.832183837890625	0625	2jam
18.501482009887695	0626	2jam
13.940337896347046	0631	2jam
16.880650997161865	0648	2jam
14.200265884399414	0653	2jam
7.0712902545928955	0662	2jam
7.227359056472778	0663	2jam
10.852834701538086	0666	2jam
7.084013938903809	0670	2jam
10.460268020629883	0677	2jam
6.281306028366089	0680	2jam
7.588039875030518	0681	2jam
1.6926391124725342	0683	2jam
1.6781246662139893	0684	2jam
12.888908863067627	0692	2jam
15.191400051116943	0693	2jam
6.1863181591033936	0695	2jam
12.01909613609314	0696	2jam
21.697000741958618	0699	2jam
14.098603010177612	0706	2jam
16.53368091583252	0708	2jam
12.772534847259521	0709	2jam
13.346954107284546	0716	2jam
6.8008036613464355	0723	2jam
4.865778923034668	0727	2jam
11.208136796951294	0729	2jam
3.9964332580566406	0737	2jam
13.123210906982422	0743	2jam
10.334264993667603	0746	2jam
11.53607988357544	0754	2jam
10.866662979125977	0755	2jam
20.636144876480103	0767	2jam
8.566004991531372	0769	2jam
22.569900035858154	0776	2jam
26.774478673934937	0783	2jam
26.25224018096924	0784	2jam
9.517671823501587	0786	2jam
4.127493858337402	0789	2jam
7.75403618812561	0790	2jam
15.943816184997559	0797	2jam
17.345598220825195	0800	2jam
